method,iteration,violation,accuracy,accuracy_rank,violation_rank
21multi,2,0.0,0.6815000000000001,0,0
21multi,0,-0.015603070175438598,0.6727500000000001,0,0
21multi,2,-0.0015073904179408759,0.6808750000000001,0,0
oxonfair,0,-0.024884853643542787,0.661,1,1
21multi,1,0.0,0.6430833333333333,0,0
oxonfair,2,-0.011720466644014039,0.6727333333333334,1,1
oxonfair,1,0.0,0.637,1,1
oxonfair,1,0.0,0.6370000000000001,1,1
oxonfair,0,-0.030248892671931375,0.6609999999999998,1,1
21multi,1,0.0,0.6441000000000001,0,0
21multi,0,-0.010324622483882665,0.6706666666666666,0,0
21multi,2,-0.0009276248725790005,0.6806153846153846,0,0
oxonfair,2,-0.003950823216878256,0.6713636363636364,1,1
oxonfair,1,0.0,0.6370000000000002,1,1
oxonfair,2,-0.00251347021989223,0.6719285714285715,1,1
21multi,1,0.0,0.6432727272727273,0,0
oxonfair,0,-0.028505630653453025,0.6609999999999998,1,1
21multi,2,-0.0008039415562351338,0.6813333333333333,0,0
21multi,0,-0.024717013970986162,0.6731666666666666,0,0
oxonfair,0,-0.02649417447828569,0.6609999999999998,1,1
oxonfair,2,-0.0016756468132614868,0.6721428571428572,1,1
oxonfair,1,0.0,0.6370000000000001,1,1
21multi,2,-0.0015073904179408759,0.6802500000000001,0,0
21multi,1,0.0,0.6435384615384616,0,0
21multi,0,-0.020762670565302142,0.6736666666666666,0,0
21multi,2,-0.001096283940320637,0.6811818181818182,0,0
oxonfair,0,-0.020368689018142826,0.6609999999999999,1,1
21multi,0,-0.03698912670828014,0.6732500000000001,0,0
21multi,1,0.0,0.6436153846153846,0,0
oxonfair,1,0.0,0.6370000000000001,1,1
oxonfair,2,-0.00578373715988394,0.6703846153846152,1,1
oxonfair,2,-0.004345905538566081,0.6727,1,1
21multi,1,0.0,0.6426363636363637,0,0
21multi,0,-0.020808270676691727,0.6717142857142857,0,0
oxonfair,0,-0.04407071136961899,0.661,1,1
21multi,2,-0.0012059123343527006,0.6803,0,0
oxonfair,1,0.0,0.637,1,1
oxonfair,2,-0.00965756786348018,0.6736666666666665,1,1
21multi,1,0.0,0.6426000000000001,0,0
oxonfair,0,-0.0278494979587333,0.6609999999999999,1,1
21multi,2,-0.002584097859327216,0.6790714285714285,0,0
21multi,0,-0.02060782196581601,0.6713333333333334,0,0
oxonfair,1,0.0,0.637,1,1
21multi,2,0.0,0.6805555555555556,0,0
oxonfair,2,-0.011179824064635484,0.6722222222222222,1,1
21multi,0,-0.02993370809098217,0.6725,0,0
21multi,1,0.0,0.6424,0,0
oxonfair,1,0.0,0.6369999999999999,1,1
oxonfair,0,-0.019958128597651923,0.6609999999999999,1,1
oxonfair,2,-0.01917714350436064,0.6732499999999999,1,1
oxonfair,0,-0.01572494370905492,0.6609999999999998,1,1
oxonfair,1,0.0,0.6370000000000002,1,1
21multi,0,-0.034588206627680314,0.6741666666666667,0,0
21multi,2,-0.004823649337410803,0.6786000000000001,0,0
21multi,1,0.0,0.6430714285714286,0,0
21multi,0,-0.038917123784303516,0.6715000000000001,0,0
oxonfair,1,0.0,0.6369999999999999,1,1
oxonfair,0,-0.028442426821771394,0.6609999999999999,1,1
21multi,2,-0.0017227319062181438,0.6801428571428572,0,0
