method,iteration,violation,accuracy,accuracy_rank,violation_rank
21multi,0,-0.009027777777777808,0.6476421269602518,0,1
oxonfair,1,-0.09591322918176987,0.596515417397844,1,0
21multi,2,-0.02866546618647463,0.6180997743795438,0,1
oxonfair,2,-0.04493575207860926,0.6692571237569983,1,0
21multi,0,-0.010416666666666704,0.6452466505111277,0,1
21multi,1,-0.11839930404523713,0.6683607192506666,0,1
oxonfair,0,-0.06426282051282056,0.5377673216730625,1,0
21multi,2,-0.03012633624878523,0.5723955162410916,0,1
oxonfair,1,-0.08069692136677789,0.604217152725551,1,0
oxonfair,2,-0.032893157262905204,0.5699244350535402,1,0
oxonfair,0,-0.04010416666666672,0.6441881841731427,1,0
21multi,0,-0.0104166666666667,0.5762453891057551,0,1
21multi,1,-0.16198830409356735,0.7376953288209243,0,1
21multi,1,-0.18205931495405184,0.7078036027647459,0,1
oxonfair,2,-0.05531355399302581,0.7234537836192387,1,0
21multi,0,-0.005357142857142886,0.6916878558894102,0,1
oxonfair,1,-0.07224014466837436,0.622399097518175,1,0
oxonfair,0,-0.04128787878787885,0.5788190250461496,1,0
21multi,2,-0.03031212484994,0.7043214995082631,0,1
21multi,1,-0.16409356725146204,0.684031085485084,0,1
21multi,0,-0.009895833333333368,0.6357169716720983,0,1
oxonfair,0,-0.03173076923076927,0.6786933297336908,1,0
21multi,2,-0.033068227290916394,0.6058849335673101,0,1
oxonfair,2,-0.04491432936811091,0.6676770208983797,1,0
oxonfair,1,-0.07512583110669242,0.5579987823657917,1,0
21multi,0,-0.0241071428571429,0.4988718977187264,0,1
oxonfair,2,-0.03866296518607447,0.7689583855602906,1,0
21multi,2,-0.028008703481392602,0.6533905740787164,0,1
21multi,1,-0.08867433735854793,0.5482398023135051,0,1
oxonfair,0,-0.04935897435897439,0.5866131862622211,1,0
oxonfair,1,-0.02923251655309076,0.6080813145240319,1,0
oxonfair,1,-0.040178499508643085,0.4905573660900811,1,0
oxonfair,0,-0.04335937500000005,0.5867071947856605,1,0
oxonfair,2,-0.04877617713752173,0.6210829781900224,1,0
21multi,2,-0.02811791383219958,0.71757750480488,0,1
